token_id,list_user
0,0xeb6b293E9bB1d71240953c8306aD2c8aC523516a
1,0xC480C3FD10d8965EB74B9B53ee65Bea24B2a6A73
2,0xf4212614C7Fe0B3feef75057E88b2E77a7E23e83
3,0x983110309620D911731Ac0932219af06091b6744
4,0x2EB468B1C02E6713770a0a71B95e9077a9f16651
5,0x2a3bB9f9b1a305F39C917b8a5b7fBa0Be1fe3601
6,0x2dE24A3a593aD27AA7f7DB4a4A6204A57Bf75d0b
7,0x486D582eed105cEf4e4Aa270C93b1e03Fe5B04F3
8,0x487eb1dbB49c4B0aaf6f4D6C39F869f961667878
9,0x49A1564c41B1D7a369850fD43Eca03b9BBd4E8D4
10,0x4fE0EF7e0100dD677AcE41875DF7349884448E76
11,0x5438F076431321224969fC258D1c99d340b8af5a
12,0x5870769237cc89e31e89e64172af08ff429d6d0d
13,0x58f7755998Bbb778175D3361eD2437ABD9e5aBB5
14,0x59794536300Ef36420C9DB14A91ca77Eb4E4BBb3
15,0x59e3feFAD4c680BF7EF5369347D062341E677A96
16,0x5B2063246F2191f18F2675ceDB8b28102e957458
17,0x6a08ed0C51A3114D6a5347f1D0D33b1932dC93A7
18,0x7d56dA765c194FE5eAe10841b57739E634562436
19,0x845914438C8fedF8c6141090f0ee67b77C5D3E89
20,0x8B24b1686832757e2f6d640e11e88e7f0064594a
21,0x8CF228749e2F853922fBe7cEf00D8eb036e3A9B1
22,0x9a70d89dB9A7Ae5c04d2BeA3049D136098e32e22
23,0x9bBa59162984333F5A6468E4F2fdd13F242E8eaf
24,0xA2B0a348e235EB1C6e9A2028847E892724aB30a0
25,0xA6c777D5619CFf3943eF7ACA0b40A8751a2620d3
26,0xA7860E99e3ce0752D1ac53b974E309fFf80277C6
27,0xB96E81f80b3AEEf65CB6d0E280b15FD5DBE71937
28,0xBdB41BfF7E828E2DC2d15EB67257455db818F1DC
29,0xC60Ae6a8b88f06c549Cc2cA2EC70775791DB7F08
30,0xE855F2Fb565eD70DD14Dc278a0834FA7814a62f0
31,0xE988fbC35cDF39895cC1Be75F6437E261b4558D1
32,0xEB40A065854bd90126A4E697aeA0976BA51b2eE7
33,0xEF194c5F2922265b8f4F505a2fC81d2846ED4444
34,0x0483499Fac8C6EaCcD64c5D316762af172f5Eb4A
35,0xa871B3BFd89deE74d00c4F607F14ED65ceFFd3d0
36,0xcEB7D613cd04231371c79b9893169c4E8cf658B1
37,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045
38,0xdd80AbdFAd76B65ABC6d43e4F1c58Da216E04F10
39,0xFAEab24340Ef750F67eE158DeAafC82D34F019Bd
40,0x092AD3842DceD68b5B6Ef9CC602Be66924BaECDd
41,0x1ee488455498083b809Da9b818e890ee33Cb3bF7
42,0xAe84A946A2d6C82399731Fd06592300b18076383
